 ,Label,Area1,Mean1,Min1,Max1,Median1,Area2,Mean2,Min2,Max2,Median2,Area3,Mean3,Min3,Max3,Median3,Area4,Mean4,Min4,Max4,Median4,Area5,Mean5,Min5,Max5,Median5,Area6,Mean6,Min6,Max6,Median6,Area7,Mean7,Min7,Max7,Median7,Area8,Mean8,Min8,Max8,Median8
1,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,36.700,8,174,27,0.433,71.663,19,255,41,0.516,79.976,22,197,62,0.478,11.991,6,20,12,0.466,12.304,4,21,13,0.433,37.288,15,75,33,0.287,50.348,9,175,31,0.478,28.043,15,41,28
2,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,35.029,13,149,27,0.433,70.702,18,232,48,0.516,78.355,23,207,60,0.478,12.504,4,21,13,0.466,12.268,4,24,12,0.433,37.019,15,82,35,0.287,46.391,8,151,32,0.478,28.504,17,43,28
3,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,33.971,12,159,26,0.433,70.154,17,234,44,0.516,78.798,19,196,61,0.478,11.313,4,20,12,0.466,12.518,5,23,13,0.433,38.317,18,71,34,0.287,48.130,12,162,33,0.478,28.217,17,39,28
4,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,34.071,13,130,27,0.433,69.519,17,226,46,0.516,76.742,22,197,58,0.478,10.939,4,23,10,0.466,12.411,5,22,13,0.433,36.615,17,65,34,0.287,53.768,10,179,34,0.478,28.017,14,44,28
5,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,29.700,7,113,26,0.433,73.202,20,241,51,0.516,73.710,21,188,57,0.478,11.713,2,20,12,0.466,11.902,5,20,12,0.433,35.942,17,65,33,0.287,54.826,10,177,37,0.478,26.530,13,37,27
6,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,30.243,10,114,25,0.433,71.404,18,235,51,0.516,78.056,17,189,64,0.478,11.609,4,22,12,0.466,12.661,5,23,13,0.433,37.125,15,73,35,0.287,56.768,7,174,38,0.478,26.774,15,40,26
7,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,31.800,15,118,24,0.433,74.385,20,224,52,0.516,80.742,17,217,72,0.478,11.904,5,20,12,0.466,12.125,4,20,12,0.433,38.625,18,74,35,0.287,55.507,11,188,38,0.478,26.817,15,39,27
8,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,29.029,16,95,25,0.433,75.106,18,235,56,0.516,80.702,20,205,67,0.478,11.609,5,22,11,0.466,12.705,7,24,13,0.433,39.721,15,76,37,0.287,53.667,10,181,37,0.478,26.365,16,37,26
9,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,28.314,11,88,23,0.433,77.683,19,239,55,0.516,81.129,23,214,64,0.478,11.704,4,17,12,0.466,13.188,4,24,13,0.433,40.317,15,80,35,0.287,58.797,10,191,42,0.478,26.791,17,41,26
10,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,30.229,14,91,26,0.433,75.654,18,250,52,0.516,86.073,19,220,71,0.478,11.339,1,21,11,0.466,14.098,5,25,14,0.433,42.615,16,88,39,0.287,60.478,10,195,46,0.478,26.400,16,38,26
11,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,29.443,12,90,26,0.433,77.894,19,253,47,0.516,77.806,21,190,65,0.478,11.052,3,20,11,0.466,13.223,5,28,13,0.433,40.481,20,82,37,0.287,62.406,8,196,44,0.478,26.809,14,36,27
12,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,27.586,12,83,24,0.433,79.029,20,255,51,0.516,76.460,19,193,65,0.478,11.461,5,21,11,0.466,12.938,1,31,13,0.433,38.558,19,74,35,0.287,64.319,7,207,44,0.478,27.217,15,41,27
13,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,29.557,14,108,25,0.433,77.981,16,246,53,0.516,75.806,19,189,65,0.478,10.348,2,19,10,0.466,13.188,7,29,13,0.433,39.067,18,81,36,0.287,64.957,12,206,45,0.478,27.687,18,41,27
14,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,32.271,13,118,24,0.433,81.029,16,255,50,0.516,71.677,18,179,58,0.478,11.478,2,21,11,0.466,12.357,6,25,12,0.433,39.260,18,82,36,0.287,64.261,8,215,47,0.478,27.609,13,38,28
15,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,46.286,15,169,30,0.433,80.606,19,255,50,0.516,71.298,17,179,53,0.478,9.896,1,18,9,0.466,13.688,3,35,13,0.433,39.865,14,93,36,0.287,68.826,13,201,50,0.478,27.713,19,42,27
16,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,46.071,13,175,31,0.433,82.144,22,255,45,0.516,67.540,19,173,51,0.478,10.183,3,19,10,0.466,12.723,5,25,12,0.433,38.327,15,82,35,0.287,70.464,11,213,54,0.478,27.452,14,42,27
17,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,40.529,15,186,27,0.433,76.087,19,255,47,0.516,66.766,18,175,50,0.478,9.904,1,18,10,0.466,13.304,6,29,12,0.433,38.490,19,84,35,0.287,64.725,11,215,48,0.478,26.904,13,36,27
18,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,42.157,10,145,29,0.433,79.115,19,255,51,0.516,66.266,19,165,49,0.478,10.461,4,18,10,0.466,12.241,4,23,12,0.433,42.615,23,84,38,0.287,65.159,7,213,47,0.478,28.183,18,44,28
19,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,48.771,12,170,33,0.433,74.048,17,238,49,0.516,64.790,21,171,49,0.478,10.774,5,18,10,0.466,12.545,5,20,13,0.433,40.183,18,77,36,0.287,67.812,9,205,49,0.478,27.304,17,43,27
20,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,54.671,11,171,40,0.433,73.904,18,224,50,0.516,63.492,20,169,48,0.478,11.217,4,19,11,0.466,12.295,4,25,12,0.433,37.394,20,75,34,0.287,67.899,11,193,53,0.478,26.939,16,44,26
21,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,56.157,8,165,40,0.433,74.413,18,241,55,0.516,65.726,15,169,50,0.478,11.087,2,20,11,0.466,12.214,5,21,13,0.433,38.760,18,81,37,0.287,69.464,10,184,58,0.478,27.557,17,39,28
22,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,49.243,13,150,38,0.433,72.913,19,226,55,0.516,65.218,21,168,52,0.478,11.287,4,18,12,0.466,11.366,5,18,11,0.433,38.442,18,76,36,0.287,72.652,12,186,59,0.478,27.270,18,41,27
23,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,55.929,15,140,43,0.433,73.837,12,225,54,0.516,66.258,20,166,51,0.478,10.530,4,17,10,0.466,11.188,4,19,11,0.433,40.750,23,75,38,0.287,69.174,13,176,56,0.478,26.548,16,39,27
24,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,52.471,15,141,41,0.433,72.067,20,228,52,0.516,69.347,17,177,52,0.478,10.504,5,18,10,0.466,11.125,4,22,11,0.433,39.856,20,87,37,0.287,70.754,12,175,61,0.478,26.443,14,36,26
25,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,55.443,14,145,41,0.433,74.471,18,242,57,0.516,71.685,17,175,60,0.478,11.252,4,19,11,0.466,11.277,3,20,11,0.433,39.721,21,77,34,0.287,66.986,13,170,52,0.478,27.409,15,38,27
26,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,64.314,17,179,48,0.433,74.942,18,226,55,0.516,70.008,20,160,57,0.478,10.600,4,18,10,0.466,12.491,5,22,12,0.433,41.462,19,87,38,0.287,55.826,12,144,38,0.478,27.357,16,38,27
27,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,62.929,15,185,41,0.433,75.154,17,251,57,0.516,68.831,19,156,58,0.478,10.930,4,23,10,0.466,12.339,3,23,12,0.433,42.317,20,79,37,0.287,53.899,9,160,39,0.478,26.296,15,37,26
28,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,57.714,13,184,41,0.433,74.231,16,241,51,0.516,73.524,22,169,64,0.478,11.061,4,20,11,0.466,12.536,4,25,12,0.433,43.269,14,93,38,0.287,52.319,10,150,36,0.478,27.887,18,39,27
29,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,52.143,10,168,36,0.433,75.433,15,248,51,0.516,76.605,22,165,62,0.478,10.809,4,17,11,0.466,12.232,5,21,12,0.433,44.548,18,94,41,0.287,53.609,10,161,37,0.478,26.287,13,36,26
30,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,56.686,11,209,35,0.433,74.808,17,255,56,0.516,81.331,27,189,72,0.478,10.800,4,20,11,0.466,11.527,5,21,12,0.433,43.808,22,92,38,0.287,55.246,8,167,39,0.478,25.748,16,42,26
31,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,52.900,15,176,34,0.433,76.308,16,255,52,0.516,85.040,32,185,76,0.478,10.783,3,21,10,0.466,12.929,5,28,13,0.433,41.933,21,85,36,0.287,51.319,9,151,32,0.478,26.026,14,38,26
32,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,54.386,13,193,34,0.433,72.856,18,249,46,0.516,83.766,26,191,71,0.478,11.209,2,22,11,0.466,12.312,3,22,12,0.433,41.163,21,84,36,0.287,47.971,7,139,34,0.478,24.591,11,35,24
33,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,53.486,5,197,32,0.433,70.962,16,251,46,0.516,82.685,32,189,71,0.478,11.252,4,20,11,0.466,13.000,4,28,13,0.433,40.769,17,87,36,0.287,45.536,7,143,28,0.478,25.765,17,34,26
34,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,60.843,15,220,40,0.433,73.260,19,243,46,0.516,82.202,30,179,70,0.478,10.278,2,16,11,0.466,13.098,2,25,13,0.433,41.096,16,86,36,0.287,43.159,9,129,26,0.478,24.870,15,36,24
35,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,69.057,13,230,44,0.433,72.221,18,242,50,0.516,84.008,28,185,69,0.478,10.948,5,20,11,0.466,12.482,2,25,12,0.433,40.692,17,82,37,0.287,42.652,5,127,27,0.478,25.687,13,42,26
36,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,68.857,12,208,48,0.433,71.788,19,248,46,0.516,81.226,33,182,68,0.478,10.417,4,18,10,0.466,12.946,5,24,13,0.433,39.385,18,82,36,0.287,44.391,11,134,35,0.478,25.626,14,37,26
37,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,70.814,14,223,42,0.433,75.577,17,251,53,0.516,80.306,33,186,68,0.478,10.600,3,21,10,0.466,13.036,4,27,12,0.433,38.788,22,85,35,0.287,45.493,10,130,30,0.478,24.843,16,36,25
38,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,59.629,10,202,36,0.433,81.173,21,255,60,0.516,79.516,34,184,70,0.478,9.922,3,17,10,0.466,13.250,4,23,13,0.433,39.923,19,84,35,0.287,42.507,14,124,27,0.478,24.113,14,35,24
39,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,61.314,13,201,41,0.433,80.817,15,255,55,0.516,76.169,31,161,66,0.478,10.617,2,18,10,0.466,12.866,4,21,13,0.433,40.548,22,85,36,0.287,38.145,7,110,26,0.478,24.739,15,34,25
40,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,60.671,15,181,42,0.433,76.875,23,251,58,0.516,73.790,30,159,63,0.478,10.357,0,19,10,0.466,12.893,3,26,13,0.433,40.067,21,83,35,0.287,40.478,10,117,29,0.478,24.296,15,35,24
41,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,67.114,13,195,46,0.433,77.913,21,255,56,0.516,74.081,26,161,66,0.478,10.470,4,18,10,0.466,12.946,4,23,14,0.433,39.000,20,89,36,0.287,39.290,13,115,31,0.478,25.313,10,40,26
42,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,66.057,12,217,45,0.433,71.288,15,210,55,0.516,73.871,30,159,65,0.478,10.174,3,21,10,0.466,12.750,4,25,13,0.433,39.375,16,75,34,0.287,43.101,7,121,33,0.478,24.235,16,34,24
43,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,66.357,16,209,46,0.433,73.106,19,221,54,0.516,72.935,25,155,64,0.478,10.261,2,17,10,0.466,12.357,3,20,12,0.433,38.962,15,80,34,0.287,41.174,10,112,31,0.478,24.443,12,37,25
44,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,67.671,14,195,46,0.433,70.423,19,217,56,0.516,73.048,32,157,63,0.478,10.087,3,18,10,0.466,12.411,5,20,12,0.433,38.240,19,85,34,0.287,41.986,10,116,32,0.478,24.565,15,36,24
45,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,69.471,19,176,51,0.433,70.788,15,222,52,0.516,70.137,31,144,60,0.478,10.678,2,19,10,0.466,12.134,4,24,12,0.433,37.481,18,75,33,0.287,45.261,7,110,36,0.478,24.452,13,38,25
46,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,63.614,14,181,51,0.433,67.625,15,208,50,0.516,69.387,25,150,62,0.478,10.757,4,17,11,0.466,12.884,4,23,12,0.433,38.635,16,76,35,0.287,47.449,13,114,38,0.478,24.878,16,40,25
47,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,60.000,15,161,43,0.433,64.615,19,185,47,0.516,69.048,23,141,61,0.478,10.157,0,17,10,0.466,14.205,6,28,14,0.433,35.644,19,75,33,0.287,47.551,14,120,42,0.478,24.313,16,33,25
48,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,54.629,13,159,38,0.433,65.500,16,207,47,0.516,68.968,25,141,60,0.478,11.270,5,20,11,0.466,13.098,5,26,13,0.433,35.981,15,74,32,0.287,55.522,13,127,46,0.478,24.643,15,35,24
49,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,38.000,10,115,29,0.433,64.154,21,185,45,0.516,69.411,28,147,62,0.478,10.252,4,18,10,0.466,11.714,4,26,11,0.433,35.058,15,69,32,0.287,56.623,14,134,48,0.478,26.209,18,36,26
50,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,33.271,7,102,25,0.433,62.625,17,176,44,0.516,69.911,27,143,61,0.478,10.878,4,22,11,0.466,12.125,4,25,12,0.433,34.260,17,64,31,0.287,58.000,16,128,46,0.478,24.235,11,36,25
51,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,40.029,12,126,28,0.433,64.971,21,204,42,0.516,74.944,34,168,64,0.478,10.400,3,19,10,0.466,12.580,3,23,12,0.433,34.288,16,69,31,0.287,62.232,18,156,52,0.478,24.896,12,37,25
52,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,42.914,12,142,29,0.433,63.567,18,181,48,0.516,73.089,30,150,63,0.478,10.061,0,20,10,0.466,13.286,5,25,13,0.433,31.587,15,50,30,0.287,57.058,10,126,46,0.478,25.200,16,36,26
53,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,46.186,12,169,34,0.433,60.769,21,189,41,0.516,72.790,31,151,65,0.478,10.209,2,17,10,0.466,12.545,4,21,13,0.433,30.019,12,56,28,0.287,47.609,10,123,41,0.478,23.791,16,38,24
54,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,48.114,14,167,35,0.433,57.990,21,177,42,0.516,70.444,35,161,62,0.478,10.104,4,20,10,0.466,12.446,3,22,13,0.433,30.538,17,54,29,0.287,44.087,13,103,37,0.478,24.330,13,36,24
55,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,47.643,14,154,37,0.433,59.654,18,194,43,0.516,68.435,29,138,64,0.478,11.278,4,20,11,0.466,12.170,4,24,11,0.433,30.990,16,55,29,0.287,40.884,9,89,37,0.478,24.461,15,33,24
56,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,58.157,11,166,44,0.433,64.462,20,199,44,0.516,70.645,31,150,62,0.478,10.539,4,21,10,0.466,12.473,3,24,12,0.433,32.058,14,55,31,0.287,40.072,11,102,38,0.478,24.278,14,37,24
57,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,56.386,16,148,45,0.433,63.029,20,192,40,0.516,69.024,32,139,58,0.478,10.817,4,21,10,0.466,13.116,6,26,13,0.433,31.298,12,58,29,0.287,33.246,9,89,29,0.478,24.739,16,33,25
58,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,52.757,15,133,43,0.433,64.808,20,215,46,0.516,68.508,28,140,62,0.478,10.539,4,21,10,0.466,11.982,6,22,12,0.433,30.837,14,60,29,0.287,29.725,10,82,28,0.478,24.687,16,33,25
59,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,54.414,11,145,45,0.433,65.404,17,231,41,0.516,63.161,28,128,56,0.478,10.374,3,18,10,0.466,11.607,5,23,11,0.433,34.096,15,65,32,0.287,27.957,10,73,26,0.478,24.252,15,39,25
60,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,54.200,16,127,44,0.433,64.240,18,223,43,0.516,64.444,27,131,58,0.478,10.565,4,20,10,0.466,11.598,3,20,12,0.433,35.288,14,75,33,0.287,28.275,7,70,25,0.478,23.843,12,36,24
61,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,58.300,17,130,49,0.433,67.115,19,223,45,0.516,65.508,26,129,59,0.478,11.078,3,25,11,0.466,12.580,2,23,13,0.433,39.577,18,82,36,0.287,28.449,7,83,25,0.478,23.591,11,33,24
62,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,59.486,14,127,50,0.433,65.904,20,233,45,0.516,65.726,27,125,59,0.478,10.678,4,29,11,0.466,12.821,6,25,12,0.433,39.731,13,74,36,0.287,28.101,10,85,24,0.478,23.548,9,38,24
63,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,60.214,15,146,51,0.433,61.606,18,209,42,0.516,66.355,29,144,60,0.478,10.357,4,20,10,0.466,12.482,5,23,12,0.433,38.769,16,74,36,0.287,25.348,6,73,21,0.478,24.009,13,36,24
64,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,57.629,12,133,50,0.433,60.615,20,219,42,0.516,69.629,25,144,64,0.478,10.391,0,19,11,0.466,12.679,5,23,13,0.433,38.644,15,77,35,0.287,24.870,8,64,22,0.478,24.061,11,36,24
65,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,65.914,19,148,57,0.433,63.365,19,199,46,0.516,67.129,23,151,59,0.478,10.887,5,20,10,0.466,13.071,4,27,13,0.433,39.048,15,77,35,0.287,23.217,8,66,19,0.478,24.000,15,34,24
66,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,59.800,16,133,47,0.433,59.510,16,193,43,0.516,62.944,22,132,57,0.478,10.226,1,20,10,0.466,13.536,5,23,14,0.433,38.077,18,71,34,0.287,22.449,9,62,20,0.478,24.078,12,36,24
67,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,58.071,14,135,54,0.433,55.317,21,166,42,0.516,63.540,23,147,54,0.478,10.922,5,20,10,0.466,14.312,5,26,15,0.433,38.971,19,85,36,0.287,19.420,8,50,17,0.478,23.339,13,36,23
68,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,60.243,15,135,47,0.433,55.346,20,178,41,0.516,62.323,26,135,54,0.478,10.165,3,20,10,0.466,14.357,5,30,14,0.433,37.125,17,71,35,0.287,16.884,6,49,14,0.478,23.861,12,34,24
69,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,54.329,13,122,45,0.433,55.750,17,181,39,0.516,60.734,23,129,50,0.478,9.870,2,19,10,0.466,14.152,5,25,14,0.433,36.346,15,77,33,0.287,18.275,3,54,14,0.478,23.748,14,34,24
70,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,56.729,8,124,51,0.433,58.683,16,178,45,0.516,60.089,22,135,51,0.478,10.809,3,21,11,0.466,14.402,1,26,14,0.433,36.913,17,70,34,0.287,18.348,5,60,15,0.478,23.017,12,33,23
71,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,56.100,16,133,50,0.433,62.260,22,207,45,0.516,58.282,21,157,46,0.478,10.052,3,18,10,0.466,14.214,3,28,14,0.433,34.981,16,74,32,0.287,18.942,5,62,15,0.478,22.478,10,31,23
72,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,61.286,19,146,51,0.433,70.865,21,242,51,0.516,59.960,17,144,48,0.478,11.278,5,18,11,0.466,15.420,3,31,15,0.433,37.192,17,71,34,0.287,18.913,3,63,15,0.478,23.365,15,32,23
73,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,58.329,16,130,48,0.433,70.846,24,253,51,0.516,60.073,18,143,48,0.478,10.348,3,21,10,0.466,13.312,6,25,13,0.433,36.654,19,67,33,0.287,19.188,3,54,15,0.478,22.348,12,32,22
74,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,56.729,16,132,45,0.433,70.346,20,214,53,0.516,63.653,19,142,53,0.478,10.252,3,20,10,0.466,12.920,4,23,13,0.433,36.615,17,72,33,0.287,20.072,6,54,16,0.478,22.991,13,33,23
75,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,61.200,16,153,49,0.433,67.394,17,222,50,0.516,65.444,24,143,56,0.478,10.652,2,22,10,0.466,12.580,4,24,12,0.433,38.423,20,82,33,0.287,20.232,6,67,15,0.478,23.061,11,33,23
76,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,54.343,18,153,41,0.433,73.510,21,255,51,0.516,65.726,22,154,60,0.478,10.922,3,20,11,0.466,13.830,5,26,13,0.433,39.606,17,87,36,0.287,18.797,5,68,14,0.478,23.043,14,32,23
77,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,53.829,16,135,41,0.433,75.615,22,251,51,0.516,63.710,23,141,51,0.478,10.487,3,20,11,0.466,12.920,4,28,12,0.433,39.635,21,85,35,0.287,20.029,0,71,16,0.478,24.783,16,36,24
78,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,49.329,15,126,38,0.433,77.327,23,246,52,0.516,63.266,19,143,58,0.478,11.148,4,22,11,0.466,13.527,5,28,14,0.433,40.423,18,79,38,0.287,20.754,3,66,15,0.478,26.043,15,38,26
79,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,55.086,18,139,40,0.433,75.240,23,219,51,0.516,60.661,24,132,52,0.478,11.704,4,24,12,0.466,13.259,3,25,13,0.433,40.846,18,87,37,0.287,18.275,2,59,15,0.478,25.522,17,36,26
